timestamp,position,altitude,heading
672,"52.215034433629384,106.42797126292643",22400,302
678,"52.22009094479413,106.41518103923767",22600,302
684,"52.22517221952366,106.40232169798799",22800,302
690,"52.23027823551124,106.38939319341398",23000,302
696,"52.235408970320286,106.37639547950708",23200,302
702,"52.24056440138412,106.3633285100134",23400,302
708,"52.245744506005735,106.35019223843365",23600,302
714,"52.25094926135759,106.33698661802298",23800,302
720,"52.25617864448132,106.3237116017909",24000,302
726,"52.26143263228752,106.31036714250114",24200,302
732,"52.26671120155551,106.29695319267147",24400,302
738,"52.272014328933075,106.28346970457372",24600,302
744,"52.277341990936215,106.26991663023352",24800,302
750,"52.28269416394891,106.25629392143028",25000,302
756,"52.28807082422289,106.24260152969698",25200,302
762,"52.29347194787732,106.22883940632015",25400,302
768,"52.29889751089864,106.21500750233966",25600,302
774,"52.30434748914023,106.20110576854866",25800,302
780,"52.30982185832219,106.18713415549344",26000,302
786,"52.31532059403109,106.17309261347332",26200,302
792,"52.32084367171972,106.1589810925405",26400,302
798,"52.326391066706826,106.1447995425",26600,302
804,"52.33196275417679,106.13054791290948",26800,302
810,"52.33755870917949,106.1162261530792",27000,302
816,"52.34317890662994,106.10183421207181",27200,302
822,"52.34882332130805,106.0873720387023",27400,302
828,"52.35449192785839,106.07283958153788",27600,302
834,"52.36018470078987,106.05823678889783",27800,302
840,"52.36590161447555,106.04356360885342",28000,302
846,"52.37164264315227,106.02881998922777",28200,302
852,"52.377407760920484,106.01400587759575",28400,302
858,"52.38319694174391,105.99912122128384",28600,302
864,"52.389010159449285,105.98416596737009",28800,302
870,"52.39484738772611,105.9691400626839",29000,302
876,"52.40070860012633,105.95404345380601",29200,302
882,"52.40659377006411,105.93887608706831",29400,302
888,"52.41250287081549,105.92363790855379",29600,302
894,"52.41843587551818,105.90832886409638",29800,302
900,"52.42439275717121,105.89294889928087",30000,302
906,"52.4303734886347,105.87749795944279",30200,302
912,"52.436378042629535,105.86197598966831",30400,302
918,"52.44240639173711,105.84638293479411",30600,302
